Unit #,Unit Description,Department,Area,Model No.,Critical Unit,Serial No.,Install Date,Refrigerant,Filter Size,Tons,Asset Type,Location List,Number of Filters,Weight
711,Roll Shop Office,CM 2,Roll Shop Office,PAD3G0000L000C1,FALSE,C114139304,1/1/2018,R410A,24X24,3,Air to Air,,1,10
451,Shipping Bay East,MS Outer Bldgs,Shipping Bay East,PAF036L000E----,FALSE,G072021247,,R22,24X24,3,Package,,1,4.4LBS
492,SHIPPING BAY OFFICE,Outer Bldgs,SHIPPING BAY OFFICE,AAFC036L000E,FALSE,G072021247,,R22,24x24,3,Package,,1,4.4 LB
116,Colier Restroom,Hot Mill,Colier Restroom,EM0311VTN,FALSE,JF011819D,,R22,20X20,3,Water Source,,2,41 OZ
147,Entry Guagehouse,Hot Mill,Entry Guagehouse,EM0314VTN,FALSE,KC030898,,R22,20x20,3,Water Source,,1,41 OZ
248,3-ton Spare Unit,Cold Mill,,GCV036BFC30CLTS,FALSE,L12351273,,R22,24x24,3,Water Source,,1,42 OZ
421,Robert Chandler's Office,MS Outer Bldgs,Robert Chandler's Office,NAC030AKA4,FALSE,LO21510499,,R22,12X12,3,Air to Air,,2,81 OZ
330,618 S.,Overhead Cranes,Hot Mill,47-0926303E,FALSE,N/A,,R22,washable,3,Air to Air,,0,14OZ
329,618 N.,Overhead Cranes,Hot Mill,47-0926303E,FALSE,N/A,,R22,washable,3,Air to Air,,0,14OZ
325,614 WEST,Overhead Cranes,Hot Mill,CR430826G0024,FALSE,N/A,,R134A,,3,Cabinet Cooler,,0,36OZ
324,614 EAST,Overhead Cranes,Hot Mill,CR430826G0024,FALSE,N/A,,R134A,,3,Cabinet Cooler,,0,36OZ
323,613 WEST,Overhead Cranes,Hot Mill,CR430826G0024,FALSE,N/A,,R134A,,3,Cabinet Cooler,,0,36OZ
322,613 EAST,Overhead Cranes,Hot Mill,CR430826G0024,FALSE,N/A,,R134A,,3,Cabinet Cooler,,0,36OZ
482,Flux Dump Office Trailer,MS Outer Buildings,Outer Building,W36AB-10,FALSE,PAINTED,10/1/2022,R410A,12x30,3,Air To Air,,1,72 OZ
844,CM 2 5 WIDE OFFICE TRAILER UNIT 5,CM 2,Outer Building,W36AB-10,FALSE,PAINTED,9/1/2022,R410A,Washable,3,Air To Air,,1,72 OZ
843,CM 2 5 WIDE OFFICE TRAILER UNIT 4,CM 2,Outer Building,W36AB-10,FALSE,PAINTED,9/1/2022,R410A,Washable,3,Air To Air,,1,72 OZ
842,CM 2 5 WIDE OFFICE TRAILER UNIT 3,CM 2,Outer Building,W36AB-10,FALSE,PAINTED,9/1/2022,R410A,Washable,3,Air To Air,,1,72 OZ
841,CM 2 5 WIDE OFFICE TRAILER UNIT 2,CM 2,Outer Building,W36AB-10,FALSE,PAINTED,9/1/2022,R410A,Washable,3,Air To Air,,1,72 OZ
840,CM 2 5 WIDE OFFICE TRAILER UNIT 1,CM 2,Outer Building,W36AB-10,FALSE,Painted Over,9/1/2022,R410A,Washable,3,Air To Air,,0,
328,617 Scale Pit MCC,Overhead Cranes,Hot Mill,13393641001,FALSE,S14330635816,6/12/2020,R134A,,3,Cabinet Cooler,,0,31.7
690,632 Crane Cab,Cold Mill,632 Crane Cab,SCA1.5NI-OD-514-H1,FALSE,SC01042,1/1/2018,R134A,,3,Air to Air,,0,7lbs
801,CM 2 Crane 817 Cabinet Cooler North,CM 2,,CC02-34-460/60,FALSE,SN 02-90010002,12/31/2020,R134A,12x24,3,Cabinet Cooler,,1,4.2 lbs
806,CM 2 Crane 819 Cabinet Cooler South,CM 2,,CC02-34-460/60,FALSE,SN02-90010003,12/31/2020,R134A,12x24,3,Cabinet Cooler,,1,4.2 lbs
472,New Generator Switch Gear Room,Outer Bldgs,New Generator Switch Gear Room,GEVB03641R0100TL,FALSE,W07D23436,,R22,24x24,3,Water Source,,1,68 OZ
418,Main Guard Shack,MS Outer Bldgs,Main Guard Shack,PCE4A3621,FALSE,W11D8692787,1/1/2018,R410A,16X25,3,Package,,1,8lbs 3oz
